"Latitude","Longitude","MMSI","UTC","vesselLength","vesselType","SOG","buoyLat","buoyLon","buoyDist","inDist","group"
33.44478,-118.4852,338184371,2022-04-28 12:35:46,7,"other",0.3,33.5259611111111,-118.555766666667,11139.3310213323,TRUE,0
33.4451,-118.48525,338184371,2022-04-28 12:36:48,7,"other",2.8,33.5261333333333,-118.5568,11180.1892961363,TRUE,0
33.44506,-118.48443,338184371,2022-04-28 12:38:16,7,"other",0.2,33.5263777777778,-118.558266666667,11332.9671488427,TRUE,0
33.44505,-118.48443,338184371,2022-04-28 12:39:19,7,"other",0.1,33.5265527777778,-118.559316666667,11408.5679001185,TRUE,0
33.44504,-118.48469,338184371,2022-04-28 12:41:13,7,"other",2.1,33.5268694444444,-118.561216666667,11530.6735372612,TRUE,0
33.4458,-118.48587,338184371,2022-04-28 12:42:14,7,"other",5.2,33.5270388888889,-118.562233333333,11469.7666274653,TRUE,0
33.48725,-118.44956,338184371,2022-04-28 12:52:42,7,"other",20.9,33.5287833333333,-118.5727,12333.9803338474,TRUE,0
33.4933,-118.44325,338184371,2022-04-28 12:54:12,7,"other",18.8,33.5290333333333,-118.5742,12795.8997970874,TRUE,0
33.49954,-118.43741,338184371,2022-04-28 12:55:43,7,"other",18.5,33.5292861111111,-118.575716666667,13266.4695615968,TRUE,0
33.50529,-118.43135,338184371,2022-04-28 12:57:12,7,"other",18.9,33.5295333333333,-118.5772,13814.2607947988,TRUE,0
33.51089,-118.42491,338184371,2022-04-28 12:58:42,7,"other",18.2,33.5297833333333,-118.5787,14440.0738265936,TRUE,0
33.51498,-118.42106,338184371,2022-04-28 12:59:43,7,"other",17.4,33.5299527777778,-118.579716666667,14832.2324377764,TRUE,0
33.51681,-118.41912,338184371,2022-04-28 13:00:11,7,"other",18.7,33.5300305555556,-118.580183333333,15034.0619562204,TRUE,0
33.52083,-118.41515,338184371,2022-04-28 13:01:12,7,"other",18.6,33.5302,-118.5812,15460.2284784276,TRUE,0
33.52492,-118.41097,338184371,2022-04-28 13:02:15,7,"other",18.5,33.530375,-118.58225,15922.209700278,TRUE,0
33.53113,-118.40574,338184371,2022-04-28 13:03:42,7,"other",18.7,33.5306166666667,-118.5837,16530.7192469552,TRUE,0
33.53733,-118.40028,338184371,2022-04-28 13:05:12,7,"other",18.9,33.5308666666667,-118.5852,17191.4475573946,TRUE,0
33.54326,-118.39463,338184371,2022-04-28 13:06:42,7,"other",17.5,33.5311166666667,-118.5867,17890.7649052571,TRUE,0
33.55138,-118.38729,338184371,2022-04-28 13:08:42,7,"other",18.8,33.53145,-118.5887,18836.7624503983,TRUE,0
33.55706,-118.38158,338184371,2022-04-28 13:10:11,7,"other",18.4,33.5316972222222,-118.590183333333,19577.215525268,TRUE,0
33.56299,-118.37547,338184371,2022-04-28 13:11:44,7,"other",17.2,33.5319555555556,-118.591733333333,20377.5859104787,FALSE,1
33.56862,-118.36964,338184371,2022-04-28 13:13:12,7,"other",18.9,33.5322,-118.5932,21151.0319123639,FALSE,1
33.57308,-118.36634,338184371,2022-04-28 13:14:13,7,"other",18.9,33.5323694444444,-118.594216666667,21638.3948505794,FALSE,1
33.57946,-118.36027,338184371,2022-04-28 13:15:49,7,"other",19.4,33.5326361111111,-118.595816666667,22481.5632912125,FALSE,1
33.58494,-118.35481,338184371,2022-04-28 13:17:12,7,"other",18.7,33.5328666666667,-118.5972,23237.4392381231,FALSE,1
33.59115,-118.34896,338184371,2022-04-28 13:18:43,7,"other",18.7,33.5331194444444,-118.598716666667,24068.0226066882,FALSE,1
33.59719,-118.34375,338184371,2022-04-28 13:20:11,7,"other",17.9,33.5333638888889,-118.600183333333,24840.631437156,FALSE,1
33.60123,-118.33979,338184371,2022-04-28 13:21:12,7,"other",19.3,33.5335333333333,-118.6012,25406.8892912484,FALSE,1
33.60535,-118.33567,338184371,2022-04-28 13:22:14,7,"other",20.6,33.5337055555556,-118.602233333333,25994.3013112286,FALSE,1
33.61127,-118.33007,338184371,2022-04-28 13:23:42,7,"other",18.3,33.53395,-118.6037,26813.5668406317,FALSE,1
33.61749,-118.32431,338184371,2022-04-28 13:25:12,7,"other",19,33.5342,-118.6052,27666.1451585371,FALSE,1
33.62168,-118.3206,338184371,2022-04-28 13:26:13,7,"other",19.8,33.5343694444444,-118.606216666667,28229.395356454,FALSE,1
33.62752,-118.31446,338184371,2022-04-28 13:27:42,7,"other",18.1,33.5346166666667,-118.6077,29108.0823363535,FALSE,1
33.63375,-118.30829,338184371,2022-04-28 13:29:15,7,"other",19.2,33.534875,-118.60925,30014.0934222009,FALSE,1
33.63926,-118.30264,338184371,2022-04-28 13:30:42,7,"other",19.4,33.5351166666667,-118.6107,30841.7480705679,FALSE,1
33.64511,-118.2966,338184371,2022-04-28 13:32:13,7,"other",20.3,33.5353694444444,-118.612216666667,31725.2745801022,FALSE,1
33.65202,-118.29161,338184371,2022-04-28 13:33:44,7,"other",18.2,33.5356222222222,-118.613733333333,32568.3109443487,FALSE,1
33.65882,-118.28727,338184371,2022-04-28 13:35:13,7,"other",19,33.5358694444444,-118.615216666667,33354.6183442148,FALSE,1
33.66563,-118.28309,338184371,2022-04-28 13:36:41,7,"other",18.5,33.5361138888889,-118.616683333333,34132.4873510201,FALSE,1
33.6722,-118.27802,338184371,2022-04-28 13:38:11,7,"other",18.2,33.5363638888889,-118.618183333333,34981.6005084728,FALSE,1
33.67874,-118.27274,338184371,2022-04-28 13:39:43,7,"other",19.3,33.5366194444444,-118.619716666667,35853.1488782645,FALSE,1
33.68513,-118.268,338184371,2022-04-28 13:41:12,7,"other",17.5,33.5368666666667,-118.6212,36672.0831211451,FALSE,1
33.68946,-118.26498,338184371,2022-04-28 13:42:13,7,"other",17.7,33.5370361111111,-118.622216666667,37213.8956443277,FALSE,1
33.69405,-118.26166,338184371,2022-04-28 13:43:16,7,"other",15.9,33.5372111111111,-118.623266666667,37797.6597008734,FALSE,1
33.69982,-118.25673,338184371,2022-04-28 13:44:41,7,"other",17.2,33.5374472222222,-118.624683333333,38602.9545357696,FALSE,1
33.70365,-118.25299,338184371,2022-04-28 13:45:42,7,"other",16.3,33.5376166666667,-118.6257,39182.3862741725,FALSE,1
33.70803,-118.25042,338184371,2022-04-28 13:46:43,7,"other",19,33.5377861111111,-118.626716666667,39695.6702253678,FALSE,1
33.7136,-118.25609,338184371,2022-04-28 13:48:11,7,"other",19.4,33.5380305555556,-118.628183333333,39638.8401258879,FALSE,1
33.72023,-118.26147,338184371,2022-04-28 13:49:45,7,"other",19,33.5382916666667,-118.62975,39684.3682978493,FALSE,1
33.72789,-118.26386,338184371,2022-04-28 13:51:15,7,"other",18.7,33.5385416666667,-118.63125,40036.8969964924,FALSE,1
33.73113,-118.26555,338184371,2022-04-28 13:52:42,7,"other",5.2,33.5387833333333,-118.6327,40192.8906498599,FALSE,1
33.73244,-118.26625,338184371,2022-04-28 13:53:43,7,"other",4.9,33.5389527777778,-118.633716666667,40284.7972553637,FALSE,1
33.73368,-118.267,338184371,2022-04-28 13:54:44,7,"other",5,33.5391222222222,-118.634733333333,40368.8522088896,FALSE,1
33.73554,-118.26788,338184371,2022-04-28 13:56:12,7,"other",4.9,33.5393666666667,-118.6362,40510.4753138537,FALSE,1
33.73644,-118.2691,338184371,2022-04-28 13:57:16,7,"other",4.1,33.5395444444444,-118.637266666667,40541.3932223843,FALSE,1
33.73629,-118.26976,338184371,2022-04-28 13:58:42,7,"other",0,33.5397833333333,-118.6387,40578.658975988,FALSE,1
33.73628,-118.26976,338184371,2022-04-28 13:59:44,7,"other",0.1,33.5399555555556,-118.639733333333,40648.6980862541,FALSE,1
33.4634,-118.52225,338397179,2022-04-28 13:24:15,16,"other",0.1,33.5340416666667,-118.60425,10929.3001568533,TRUE,0
33.46338,-118.52222,338397179,2022-04-28 13:25:46,16,"other",0.1,33.5342944444444,-118.605766666667,11051.4872376188,TRUE,0
33.46339,-118.52223,338397179,2022-04-28 13:27:00,16,"other",0.2,33.5345,-118.607,11146.9663342155,TRUE,0
33.46331,-118.52216,338397179,2022-04-28 15:23:17,16,"other",0.2,33.5538805555556,-118.723283333333,21215.9715045184,FALSE,1
33.4633,-118.52215,338397179,2022-04-28 15:26:34,16,"other",0.2,33.5544277777778,-118.726566666667,21514.8932114964,FALSE,1
33.46329,-118.52213,338397179,2022-04-28 15:29:29,16,"other",0.3,33.5549138888889,-118.729483333333,21781.7133269958,FALSE,1
33.46328,-118.52211,338397179,2022-04-28 15:32:33,16,"other",0.1,33.555425,-118.73255,22062.4488101259,FALSE,1
33.46328,-118.5221,338397179,2022-04-28 15:35:12,16,"other",0,33.5558666666667,-118.7352,22304.2404402258,FALSE,1
33.46329,-118.52212,338397179,2022-04-28 15:38:11,16,"other",0,33.5563638888889,-118.738183333333,22573.6184340327,FALSE,1
33.46328,-118.52214,338397179,2022-04-28 15:41:15,16,"other",0.2,33.556875,-118.74125,22851.8691038151,FALSE,1
33.46328,-118.52211,338397179,2022-04-28 15:44:36,16,"other",0.1,33.5574333333333,-118.7446,23159.8748946074,FALSE,1
33.46328,-118.52211,338397179,2022-04-28 15:47:43,16,"other",0.1,33.5579527777778,-118.747716666667,23444.3964116716,FALSE,1
33.46347,-118.52125,338397179,2022-04-28 15:50:38,16,"other",4.4,33.5584388888889,-118.750633333333,23773.1065047752,FALSE,1
33.46521,-118.52008,338397179,2022-04-28 15:52:08,16,"other",5.2,33.5586888888889,-118.752133333333,23923.4454367998,FALSE,1
33.46826,-118.52273,338397179,2022-04-28 15:54:32,16,"other",6.3,33.5590888888889,-118.754533333333,23776.111355332,FALSE,1
33.47028,-118.52446,338397179,2022-04-28 15:55:57,16,"other",6.6,33.559325,-118.75595,23666.244114708,FALSE,1
33.47252,-118.52628,338397179,2022-04-28 15:57:32,16,"other",6.1,33.5595888888889,-118.757533333333,23555.2810232544,FALSE,1
33.47453,-118.52788,338397179,2022-04-28 15:58:57,16,"other",6.1,33.559825,-118.75895,23459.4642178442,FALSE,1
33.4768,-118.52971,338397179,2022-04-28 16:00:26,16,"other",7,33.5600722222222,-118.760433333333,23340.0264847804,FALSE,1
33.4792,-118.53173,338397179,2022-04-28 16:01:57,16,"other",7.2,33.560325,-118.76195,23203.4038502553,FALSE,1
33.48157,-118.53371,338397179,2022-04-28 16:03:26,16,"other",6.4,33.5605722222222,-118.763433333333,23070.1347786245,FALSE,1
33.48371,-118.53445,338397179,2022-04-28 16:04:57,16,"other",5.9,33.560825,-118.76495,23058.1636272468,FALSE,1
33.48541,-118.53035,338397179,2022-04-28 16:06:57,16,"other",6.7,33.5611583333333,-118.76695,23530.5680174457,FALSE,1
33.48662,-118.52829,338397179,2022-04-28 16:07:59,16,"other",6.8,33.5613305555556,-118.767983333333,23758.6559916007,FALSE,1
33.48759,-118.52511,338397179,2022-04-28 16:09:26,16,"other",8.3,33.5615722222222,-118.769433333333,24134.4922850725,FALSE,1
33.48891,-118.52177,338397179,2022-04-28 16:10:59,16,"other",6.6,33.5618305555556,-118.770983333333,24522.8926721421,FALSE,1
33.4901,-118.51832,338397179,2022-04-28 16:12:31,16,"other",8.6,33.5620861111111,-118.772516666667,24926.809814106,FALSE,1
33.49117,-118.51625,338397179,2022-04-28 16:13:32,16,"other",7.8,33.5622555555556,-118.773533333333,25166.9728712587,FALSE,1
33.49242,-118.51293,338397179,2022-04-28 16:15:00,16,"other",7.7,33.5625,-118.775,25555.2782463584,FALSE,1
33.49319,-118.51064,338397179,2022-04-28 16:17:00,16,"other",7.5,33.5628333333333,-118.777,25920.5682060709,FALSE,1
33.49528,-118.5051,338397179,2022-04-28 16:18:27,16,"other",7.6,33.563075,-118.77845,26481.8264280324,FALSE,1
33.49629,-118.50144,338397179,2022-04-28 16:20:00,16,"other",6.8,33.5633333333333,-118.78,26922.8935963291,FALSE,1
33.49735,-118.4981,338397179,2022-04-28 16:21:27,16,"other",7.7,33.563575,-118.78145,27326.0807746089,FALSE,1
33.49805,-118.49436,338397179,2022-04-28 16:23:00,16,"other",7.3,33.5638333333333,-118.783,27786.6511491382,FALSE,1
33.49855,-118.49082,338397179,2022-04-28 16:24:27,16,"other",8.4,33.564075,-118.78445,28226.6631081668,FALSE,1
33.49922,-118.48704,338397179,2022-04-28 16:26:00,16,"other",6.7,33.5643333333333,-118.786,28693.6826590553,FALSE,1
33.49995,-118.48352,338397179,2022-04-28 16:27:27,16,"other",7.3,33.564575,-118.78745,29127.1792042208,FALSE,1
33.50026,-118.48224,338397179,2022-04-28 16:28:59,16,"other",8.6,33.5648305555556,-118.788983333333,29378.975518771,FALSE,1
33.50159,-118.47625,338397179,2022-04-28 16:30:28,16,"other",6.6,33.5650777777778,-118.790466666667,30024.0403009784,FALSE,1
33.50236,-118.4726,338397179,2022-04-28 16:32:00,16,"other",7.8,33.5653333333333,-118.792,30478.9869150541,FALSE,1
33.5031,-118.46904,338397179,2022-04-28 16:33:28,16,"other",6.8,33.5655777777778,-118.793466666667,30921.124495965,FALSE,1
33.50372,-118.4654,338397179,2022-04-28 16:35:00,16,"other",7.8,33.5658333333333,-118.795,31380.5661306181,FALSE,1
33.5042,-118.46178,338397179,2022-04-28 16:36:27,16,"other",9.6,33.566075,-118.79645,31834.3381689789,FALSE,1
33.50468,-118.45942,338397179,2022-04-28 16:37:28,16,"other",8.7,33.5662444444444,-118.797466666667,32133.2238512466,FALSE,1
33.50513,-118.45688,338397179,2022-04-28 16:38:31,16,"other",7.1,33.5664194444444,-118.798516666667,32452.6263323019,FALSE,1
33.5058,-118.45319,338397179,2022-04-28 16:40:01,16,"other",7.5,33.5666694444444,-118.800016666667,32914.4018389393,FALSE,1
33.5064,-118.44963,338397179,2022-04-28 16:41:30,16,"other",7.3,33.5669166666667,-118.8015,33364.973739671,FALSE,1
33.50662,-118.44849,338397179,2022-04-28 16:42:59,16,"other",9.7,33.5671638888889,-118.802983333333,33604.2080597401,FALSE,1
33.50769,-118.44236,338397179,2022-04-28 16:44:27,16,"other",7.2,33.5674083333333,-118.80445,34277.8065246083,FALSE,1
33.50839,-118.43861,338397179,2022-04-28 16:45:59,16,"other",8.6,33.5676638888889,-118.805983333333,34749.8710056968,FALSE,1
33.50899,-118.43484,338397179,2022-04-28 16:47:31,16,"other",7.5,33.5679194444444,-118.807516666667,35226.4053898485,FALSE,1
33.50957,-118.43112,338397179,2022-04-28 16:48:58,16,"other",8.3,33.5681611111111,-118.808966666667,35691.3596917298,FALSE,1
33.51028,-118.42729,338397179,2022-04-28 16:50:31,16,"other",7.3,33.5684194444444,-118.810516666667,36173.6610804681,FALSE,1
33.51099,-118.42369,338397179,2022-04-28 16:51:58,16,"other",6.8,33.5686611111111,-118.811966666667,36625.9871942561,FALSE,1
33.51176,-118.41991,338397179,2022-04-28 16:53:31,16,"other",7.4,33.5689194444444,-118.813516666667,37103.5769507588,FALSE,1
33.51282,-118.415,338397179,2022-04-28 16:55:31,16,"other",7.4,33.5692527777778,-118.815516666667,37722.3425358454,FALSE,1
33.51312,-118.41378,338397179,2022-04-28 16:57:01,16,"other",7.5,33.5695027777778,-118.817016666667,37970.4624954558,FALSE,1
33.51451,-118.4077,338397179,2022-04-28 16:58:31,16,"other",6.3,33.5697527777778,-118.818516666667,38644.4343927604,FALSE,1
33.51534,-118.40406,338397179,2022-04-28 17:00:01,16,"other",8.4,33.5700027777778,-118.820016666667,39105.5957931487,FALSE,1
33.51617,-118.40063,338397179,2022-04-28 17:01:27,16,"other",8,33.5702416666667,-118.82145,39541.6520320235,FALSE,1
33.51709,-118.39694,338397179,2022-04-28 17:02:58,16,"other",8.6,33.5704944444444,-118.822966666667,40008.4125263205,FALSE,1
33.51807,-118.39353,338397179,2022-04-28 17:04:27,16,"other",7.2,33.5707416666667,-118.82445,40445.8318661517,FALSE,1
33.51897,-118.38986,338397179,2022-04-28 17:05:58,16,"other",8,33.5709944444444,-118.825966666667,40912.0980401416,FALSE,1
33.51979,-118.38615,338397179,2022-04-28 17:07:31,16,"other",8.3,33.5712527777778,-118.827516666667,41386.9008791148,FALSE,1
33.52057,-118.38259,338397179,2022-04-28 17:08:58,16,"other",8.8,33.5714944444444,-118.828966666667,41839.4567260163,FALSE,1
33.52144,-118.37893,338397179,2022-04-28 17:10:31,16,"other",8,33.5717527777778,-118.830516666667,42309.6751881798,FALSE,1
33.5224,-118.37529,338397179,2022-04-28 17:12:01,16,"other",8.1,33.5720027777778,-118.832016666667,42772.4224091435,FALSE,1
33.52307,-118.37296,338397179,2022-04-28 17:13:02,16,"other",7.7,33.5721722222222,-118.833033333333,43073.4105254837,FALSE,1
33.52412,-118.36936,338397179,2022-04-28 17:14:31,16,"other",7.5,33.5724194444444,-118.834516666667,43530.3914321189,FALSE,1
33.52553,-118.36482,338397179,2022-04-28 17:16:27,16,"other",7.2,33.5727416666667,-118.83645,44112.1482921304,FALSE,1
33.52667,-118.36107,338397179,2022-04-28 17:18:02,16,"other",7.5,33.5730055555556,-118.838033333333,44592.3310488512,FALSE,1
33.52817,-118.35656,338397179,2022-04-28 17:19:57,16,"other",8,33.573325,-118.83995,45170.0715937268,FALSE,1
33.52945,-118.35303,338397179,2022-04-28 17:21:27,16,"other",8.3,33.573575,-118.84145,45621.5530121927,FALSE,1
33.53068,-118.34954,338397179,2022-04-28 17:22:57,16,"other",7.7,33.573825,-118.84295,46070.5075131941,FALSE,1
33.53197,-118.34603,338397179,2022-04-28 17:24:27,16,"other",8.2,33.574075,-118.84445,46521.1472368348,FALSE,1
33.53285,-118.34361,338397179,2022-04-28 17:25:28,16,"other",8.2,33.5742444444444,-118.845466666667,46830.6216399383,FALSE,1
33.53415,-118.34007,338397179,2022-04-28 17:26:58,16,"other",8.7,33.5744944444444,-118.846966666667,47284.8473832554,FALSE,1
33.53563,-118.33655,338397179,2022-04-28 17:28:28,16,"other",8,33.5747444444444,-118.848466666667,47735.8903483106,FALSE,1
33.53712,-118.33309,338397179,2022-04-28 17:29:58,16,"other",7.8,33.5749944444444,-118.849966666667,48181.9391950804,FALSE,1
33.53866,-118.32954,338397179,2022-04-28 17:31:28,16,"other",8.1,33.5752444444444,-118.851466666667,48636.4813994592,FALSE,1
33.54029,-118.32611,338397179,2022-04-28 17:32:58,16,"other",7.1,33.5754944444444,-118.852966666667,49079.7642981459,FALSE,1
33.54147,-118.32379,338397179,2022-04-28 17:34:00,16,"other",8.1,33.5756666666667,-118.854,49381.0816563936,FALSE,1
33.54329,-118.32058,338397179,2022-04-28 17:35:27,16,"other",7.2,33.5759083333333,-118.85545,49798.9281347243,FALSE,1
33.54534,-118.31733,338397179,2022-04-28 17:37:00,16,"other",8.6,33.5761666666667,-118.857,50228.8986309703,FALSE,1
33.54729,-118.31423,338397179,2022-04-28 17:38:27,16,"other",7.9,33.5764083333333,-118.85845,50637.3528304547,FALSE,1
33.54953,-118.31114,338397179,2022-04-28 17:39:59,16,"other",8,33.5766638888889,-118.859983333333,51051.6114434579,FALSE,1
33.55197,-118.3083,338397179,2022-04-28 17:41:31,16,"other",7.8,33.5769194444444,-118.861516666667,51442.596984119,FALSE,1
33.55451,-118.30562,338397179,2022-04-28 17:43:01,16,"other",7.3,33.5771694444444,-118.863016666667,51816.394706132,FALSE,1
33.55711,-118.30315,338397179,2022-04-28 17:44:31,16,"other",8.1,33.5774194444444,-118.864516666667,52171.826760992,FALSE,1
33.55977,-118.30065,338397179,2022-04-28 17:46:01,16,"other",8.3,33.5776694444444,-118.866016666667,52531.2232043698,FALSE,1
33.5624,-118.29851,338397179,2022-04-28 17:47:27,16,"other",8.6,33.5779083333333,-118.86745,52852.5983356728,FALSE,1
33.56528,-118.29627,338397179,2022-04-28 17:49:01,16,"other",6.7,33.5781694444444,-118.869016666667,53196.2895808422,FALSE,1
33.56768,-118.29452,338397179,2022-04-28 17:50:27,16,"other",7.4,33.5784083333333,-118.87045,53485.0588366863,FALSE,1
33.56951,-118.29331,338397179,2022-04-28 17:51:31,16,"other",6.8,33.5785861111111,-118.871516666667,53692.0120490596,FALSE,1
33.57207,-118.29157,338397179,2022-04-28 17:53:01,16,"other",6.9,33.5788361111111,-118.873016666667,53987.727062197,FALSE,1
33.57379,-118.29041,338397179,2022-04-28 17:54:02,16,"other",6.9,33.5790055555556,-118.874033333333,54187.093497303,FALSE,1
33.57623,-118.28874,338397179,2022-04-28 17:55:26,16,"other",7.3,33.5792388888889,-118.875433333333,54469.2086107048,FALSE,1
33.57892,-118.28678,338397179,2022-04-28 17:57:01,16,"other",7.5,33.5795027777778,-118.877016666667,54796.2506372981,FALSE,1
33.58067,-118.28561,338397179,2022-04-28 17:58:02,16,"other",7,33.5796722222222,-118.878033333333,54998.719637299,FALSE,1
33.5832,-118.28404,338397179,2022-04-28 17:59:26,16,"other",7.1,33.5799055555556,-118.879433333333,55274.6593905466,FALSE,1
33.58499,-118.28293,338397179,2022-04-28 18:00:26,16,"other",7,33.5800722222222,-118.880433333333,55471.3891662953,FALSE,1
33.58769,-118.28111,338397179,2022-04-28 18:01:58,16,"other",7.4,33.5803277777778,-118.881966666667,55785.0363003217,FALSE,1
33.59034,-118.27947,338397179,2022-04-28 18:03:27,16,"other",7.2,33.580575,-118.88345,56078.528806003,FALSE,1
33.59313,-118.27798,338397179,2022-04-28 18:04:58,16,"other",7.3,33.5808277777778,-118.884966666667,56362.7099110952,FALSE,1
33.59584,-118.27646,338397179,2022-04-28 18:06:27,16,"other",7.5,33.581075,-118.88645,56647.69837487,FALSE,1
33.59859,-118.27493,338397179,2022-04-28 18:07:58,16,"other",7,33.5813277777778,-118.887966666667,56938.0506751048,FALSE,1
33.6014,-118.27353,338397179,2022-04-28 18:09:27,16,"other",7.1,33.581575,-118.88945,57214.7592929274,FALSE,1
33.60417,-118.27206,338397179,2022-04-28 18:10:58,16,"other",7.6,33.5818277777778,-118.890966666667,57502.1447902169,FALSE,1
33.60695,-118.27063,338397179,2022-04-28 18:12:27,16,"other",7,33.582075,-118.89245,57784.0424206919,FALSE,1
33.6099,-118.26924,338397179,2022-04-28 18:14:01,16,"other",7.3,33.5823361111111,-118.894016666667,58072.0353221073,FALSE,1
33.61267,-118.2679,338397179,2022-04-28 18:15:30,16,"other",7.4,33.5825833333333,-118.8955,58348.0546415234,FALSE,1
33.61552,-118.26648,338397179,2022-04-28 18:17:01,16,"other",7.1,33.5828361111111,-118.897016666667,58636.2433378167,FALSE,1
33.61832,-118.26517,338397179,2022-04-28 18:18:30,16,"other",7.5,33.5830833333333,-118.8985,58912.0898343034,FALSE,1
33.6213,-118.26401,338397179,2022-04-28 18:19:56,16,"other",8.4,33.5833222222222,-118.899933333333,59172.0317962578,FALSE,1
33.62485,-118.2629,338397179,2022-04-28 18:21:32,16,"other",7.6,33.5835888888889,-118.901533333333,59448.5412896253,FALSE,1
33.62792,-118.26209,338397179,2022-04-28 18:22:56,16,"other",7.4,33.5838222222222,-118.902933333333,59676.8779359877,FALSE,1
33.6302,-118.26158,338397179,2022-04-28 18:23:58,16,"other",8.2,33.5839944444444,-118.903966666667,59838.3599710162,FALSE,1
33.63367,-118.26074,338397179,2022-04-28 18:25:32,16,"other",8.1,33.5842555555556,-118.905533333333,60091.0311201527,FALSE,1
33.63683,-118.25999,338397179,2022-04-28 18:26:58,16,"other",8.3,33.5844944444444,-118.906966666667,60321.9568634661,FALSE,1
33.63905,-118.25943,338397179,2022-04-28 18:28:00,16,"other",7.6,33.5846666666667,-118.908,60490.5381861064,FALSE,1
33.64229,-118.25863,338397179,2022-04-28 18:29:29,16,"other",8.1,33.5849138888889,-118.909483333333,60734.058494414,FALSE,1
33.64567,-118.25781,338397179,2022-04-28 18:31:00,16,"other",8.4,33.5851666666667,-118.911,60985.6404209269,FALSE,1
33.64906,-118.25704,338397179,2022-04-28 18:32:29,16,"other",8.4,33.5854138888889,-118.912483333333,61231.4189901865,FALSE,1
33.65361,-118.25608,338397179,2022-04-28 18:34:28,16,"other",8.4,33.5857444444444,-118.914466666667,61556.5006940075,FALSE,1
